  model_version        accuracy       precision          recall  f1_score_value   time_consumed
             v1         0.96875        0.970052         0.96875        0.968163        0.211434
             v2           0.625           0.625             1.0        0.769231         0.31516
             v3         0.90625        0.915323         0.90625        0.880508        0.430327
             v4          0.6875          0.6875             1.0        0.814815        0.524597
             v5           0.875           0.875             1.0        0.933333        0.668611
             v6           0.625           0.775           0.625         0.53125        0.752567
             v7        0.921875        0.928977        0.921875        0.915243        0.986364
             v8        0.945312        0.948503        0.945312        0.937812        1.281541
             v9             1.0             1.0             1.0             1.0        1.437272
            v10            0.75            0.75            0.75        0.736364        1.182669
            v11           0.875        0.910714           0.875        0.879167         1.36136
            v12          0.6875        0.671875          0.6875        0.676932        1.426186
            v13             1.0             1.0             1.0             1.0        1.652586
            v14             1.0             1.0             1.0             1.0        1.705398
            v15             1.0             1.0             1.0             1.0        1.842443
            v16           0.875           0.875             1.0        0.933333        1.865983
            v17        0.953125        0.955469        0.953125        0.947334         2.19912
            v18             1.0             1.0             1.0             1.0        2.150251
            v19          0.9375         0.94213          0.9375        0.933494        2.531386
            v20        0.923077        0.923077             1.0            0.96        2.458396
            v21           0.875           0.875             1.0        0.933333        2.496326
            v22             1.0             1.0             1.0             1.0        2.520296
            v23          0.6875        0.799107          0.6875        0.634662        2.669144
            v24        0.846154        0.846154        0.846154        0.846154        2.840452
            v25        0.882353        0.882353             1.0          0.9375         4.89506
            v26        0.921875         0.92885        0.921875          0.9144        3.638264
            v27        0.944444        0.958333        0.944444        0.947455        3.243589
            v28        0.588235        0.605882        0.588235        0.584314        3.470752
            v29        0.777778        0.851852        0.777778        0.772222         3.46676
            v30        0.857143        0.878571        0.857143        0.820077         6.10387
            v31        0.848485        0.848485             1.0        0.918033        3.725007
            v32            0.95           0.955            0.95        0.950125        3.981011
            v33             0.8        0.853333             0.8        0.786813        3.881804
            v34        0.952381        0.954887        0.952381        0.948263        5.519243
            v35        0.645161        0.696774        0.645161        0.634648        7.535819
            v36        0.545455        0.554545        0.545455        0.545455        4.568861
            v37            0.68        0.814737            0.68        0.658667        4.636406
            v38            0.92            0.92             1.0        0.958333        7.069188
            v39        0.941176        0.948097        0.941176        0.941381        7.158632
            v40        0.794118        0.856777        0.794118        0.787746        5.078022
            v41             0.8        0.854545             0.8        0.788517        5.123647
            v42        0.685714        0.694372        0.685714        0.674886        9.233634
            v43        0.744186         0.72952        0.744186        0.710426        5.732306
            v44        0.727273        0.774411        0.727273        0.712373        5.630941
            v45        0.631579        0.631579             1.0        0.774194       10.369692
            v46        0.729167        0.805707        0.729167        0.647897        6.283174
            v47        0.837838        0.837838             1.0        0.911765        6.448757
            v48        0.697674        0.575581        0.697674        0.630774       10.905779
            v49        0.591837        0.591837             1.0         0.74359         6.74992
            v50        0.804878         0.82063        0.804878         0.79058       11.292034
            v51        0.706897        0.706897             1.0        0.828283        7.223323
            v52        0.651163        0.476461        0.651163        0.550278        8.413442
            v53        0.655172        0.733868        0.655172        0.634611        7.918856
            v54        0.791667        0.849537        0.791667         0.77783        7.224719
            v55        0.566038        0.581351        0.566038        0.573136       11.333374
            v56        0.789474        0.827751        0.789474        0.790476        7.999123
            v57        0.766667        0.794712        0.766667         0.76912       11.874165
            v58             0.9        0.905372             0.9        0.898355        8.060456
            v59        0.627119        0.682746        0.627119        0.634269       13.010875
            v60        0.890625        0.889547        0.890625        0.889837        8.522212
            v61        0.760563        0.760563             1.0           0.864          9.7965
            v62        0.779661        0.776905        0.779661        0.778044       15.194558
            v63         0.72973        0.752402         0.72973        0.719789        9.763658
            v64        0.730769        0.726998        0.730769        0.727763       10.018764
            v65        0.641791        0.726059        0.641791        0.631626       16.017616
            v66        0.765432        0.825659        0.765432        0.715179       13.033194
            v67        0.943182        0.946524        0.943182        0.931129       10.507672
            v68        0.772727        0.772727             1.0        0.871795       12.168143
            v69        0.635417        0.634943        0.635417         0.61891       12.657165
            v70            0.64        0.637353            0.64        0.628998       13.620619
            v71        0.583333        0.576882        0.583333        0.570736       15.164128
            v72        0.775701        0.775701             1.0        0.873684       13.463363
            v73        0.672566        0.679343        0.672566        0.671642       14.285926
            v74         0.65625        0.629908         0.65625        0.635538       22.450611
            v75        0.716981        0.714639        0.716981        0.715782       21.847864
            v76        0.810345        0.803112        0.815029        0.806824       21.467963
            v77        0.523077        0.521009        0.586207        0.533301       34.434706
            v78        0.609195        0.443019        0.609195          0.4999       43.072052
            v79        0.570552        0.597252        0.939394        0.706816       62.213975
            v80        0.589404        0.616031        0.589404        0.513288        77.26934
            v81        0.578182        0.578182             1.0        0.732719      124.477807
            v82        0.609396        0.621094        0.609396        0.606962      355.777826
            v83        0.455891         0.65163        0.571981        0.366899     1607.571023
